"Active","Active"
"Add Offer","Add Offer"
"Are you sure you want to delete the selected offers?", "Are you sure you want to delete the selected offers?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Availability : %1","Availability : %1"
"Back","Back"
"Choose this store","Choose this store"
"City, Zipcode, Department, ...","City, Zipcode, Department, ..."
"Code : %1","Code : %1"
"Delete","Delete"
"Display offers on product page","Display offers on product page"
"Drive","Drive"
"Drive mode : the customer will only see the catalog of the chosen retailer in Front Office. Retail mode : the customer will browse the Web catalog by default.","Drive mode : the customer will only see the catalog of the chosen retailer in Front Office. Retail mode : the customer will browse the Web catalog by default."
"Edit","Edit"
"Edit Offer %1 ","Edit Offer %1 "
"Elastic Suite for Retailer","Elastic Suite for Retailer"
"Find a store :","Find a store :"
"General Offer Parameters","General Offer Parameters"
"ID","ID"
"In Stock","In Stock"
"Inactive","Inactive"
"In stock","In stock"
"Navigation mode","Navigation mode"
"New Retailer Offer","New Retailer Offer"
"Offer","Offer"
"Offer Conditions","Offer Conditions"
"Offer Summary","Offer Summary"
"Offer is available","Offer is available"
"Offers","Offers"
"Out Of Stock","Out Of Stock"
"Out of stock","Out of stock"
"Price","Price"
"Product","Product"
"Product :","Product :"
"Product Name","Product Name"
"Product Picker","Product Picker"
"Product SKU","Product SKU"
"Retail","Retail"
"Retailer","Retailer"
"Retailer :","Retailer :"
"Retailer Name","Retailer Name"
"Retailer Offer Edition Information","Retailer Offer Edition Information"
"Retailer Offer Information","Retailer Offer Information"
"Retailer Offers","Retailer Offers"
"Retailer Offers List","Retailer Offers List"
"Retailers","Retailers"
"SKU : %1","SKU : %1"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Search","Search"
"Select"...,"Select..."
"Select Product ...","Select Product ..."
"Sellers","Sellers"
"Something went wrong while editing the offer.","Something went wrong while editing the offer."
"Special Price","Special Price"
"Status : %1","Status : %1"
"Store availability : ","Store availability : "
"The product you wish to create an offer for","The product you wish to create an offer for"
"This offer no longer exists.","This offer no longer exists."
"View availability in stores ...","View availability in stores ..."
"When enabled, offers of all stores will be displayed on product page.","When enabled, offers of all stores will be displayed on product page."
"You deleted the offer %1.","You deleted the offer %1."
"You saved the offer %1.","You saved the offer %1."
